model,mean_train_accuracy,mean_val_accuracy,mean_train_recall,mean_val_recall,param_C,param_kernel
SVM,0.9752747252747251,0.964835164835165,0.9470588235294117,0.9176470588235295,0.05,linear
SVM,0.9494505494505494,0.9472527472527472,0.8647058823529413,0.8588235294117647,0.05,rbf
SVM,0.9769230769230768,0.9670329670329672,0.95,0.9294117647058824,0.1,linear
SVM,0.9604395604395604,0.9516483516483516,0.8985294117647058,0.8882352941176471,0.1,rbf
SVM,0.9818681318681319,0.9670329670329672,0.9602941176470589,0.9294117647058824,0.25,linear
SVM,0.9774725274725273,0.9626373626373625,0.9397058823529412,0.9117647058823529,0.25,rbf
SVM,0.9857142857142858,0.9670329670329672,0.9647058823529411,0.9294117647058823,0.5,linear
SVM,0.9851648351648352,0.9670329670329669,0.9602941176470587,0.9352941176470588,0.5,rbf
SVM,0.9851648351648352,0.9692307692307693,0.963235294117647,0.9352941176470588,0.75,linear
SVM,0.9862637362637363,0.9670329670329669,0.9632352941176471,0.9352941176470588,0.75,rbf
SVM,0.9857142857142858,0.964835164835165,0.9676470588235293,0.9294117647058824,1.0,linear
SVM,0.9862637362637363,0.964835164835165,0.9647058823529411,0.9411764705882353,1.0,rbf
SVM,0.9868131868131869,0.9604395604395606,0.9705882352941175,0.9294117647058824,2.5,linear
SVM,0.9895604395604396,0.9692307692307693,0.9720588235294118,0.9470588235294117,2.5,rbf
SVM,0.9901098901098901,0.9714285714285715,0.9764705882352942,0.9411764705882353,5.0,linear
SVM,0.9901098901098901,0.9670329670329669,0.973529411764706,0.9470588235294117,5.0,rbf
SVM,0.9901098901098901,0.9670329670329672,0.9779411764705882,0.9411764705882353,7.5,linear
SVM,0.9906593406593407,0.9670329670329672,0.976470588235294,0.9411764705882353,7.5,rbf
SVM,0.9912087912087912,0.9692307692307693,0.9794117647058822,0.9470588235294117,10.0,linear
SVM,0.9928571428571429,0.964835164835165,0.9808823529411764,0.9470588235294117,10.0,rbf
SVM,0.9917582417582418,0.9692307692307693,0.9794117647058822,0.9470588235294117,15.0,linear
SVM,0.9956043956043956,0.9604395604395606,0.9882352941176471,0.9470588235294117,15.0,rbf
SVM,0.9917582417582418,0.9714285714285715,0.9794117647058822,0.9470588235294117,20.0,linear
SVM,0.9967032967032967,0.9582417582417584,0.9911764705882353,0.9411764705882353,20.0,rbf
