model,mean_train_accuracy,mean_val_accuracy,mean_train_recall,mean_val_recall,param_max_depth
Random Forest,0.9406593406593406,0.9362637362637363,0.8602941176470589,0.8470588235294118,1
Random Forest,0.9631868131868131,0.9494505494505496,0.9205882352941176,0.9058823529411765,2
Random Forest,0.9835164835164836,0.9560439560439562,0.9617647058823529,0.9235294117647059,3
Random Forest,0.9901098901098901,0.9494505494505496,0.9779411764705882,0.9176470588235295,4
Random Forest,0.9923076923076923,0.9582417582417584,0.9808823529411764,0.9294117647058824,5
Random Forest,0.9972527472527473,0.9604395604395606,0.9926470588235293,0.9352941176470588,6
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,7
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,8
Random Forest,1.0,0.9582417582417584,1.0,0.9352941176470588,9
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,10
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,11
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,12
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,13
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,14
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,15
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,
